涓撲笟,鎬у埆,姣忓懆瀛︿範鏃堕暱锛堝皬鏃讹級,涓婅鍑哄嫟鐜?鏈熶腑鑰冭瘯鍒嗘暟,浣滀笟瀹屾垚鐜?鏈熸湯鑰冭瘯鍒嗘暟,鎬у埆_缂栫爜,涓撲笟_缂栫爜,
宸ュ晢绠＄悊,鐢?15.8,0.91,53.98,0.88,54.57,1,0
璐㈠姟绠＄悊,鐢?7.95,0.62,95.69,0.88,73.49,1,2
浜哄伐鏅鸿兘,鐢?23.72,0.89,68.13,0.71,77.58,1,1
璐㈠姟绠＄悊,濂?9.7,0.66,73.45,0.7,58.1,0,2
璐㈠姟绠＄悊,濂?19.63,0.63,67.58,0.85,72.98,0,2
澶ф暟鎹鐞?鐢?32.15,0.86,46.44,0.86,70.14,1,4,
宸ュ晢绠＄悊,濂?27.96,0.73,61.73,0.97,68.11,0,0
浜哄伐鏅鸿兘,鐢?9.4,0.93,49.27,0.96,70.22,1,1
澶ф暟鎹鐞?濂?27.46,0.99,73.32,0.96,77.13,0,4,
澶ф暟鎹鐞?鐢?28.39,0.93,75.31,0.79,88.55,1,4,
澶ф暟鎹鐞?鐢?20.36,0.91,100,0.72,88.07,1,4,
宸ュ晢绠＄悊,鐢?6.37,0.67,77.78,0.84,64.55,1,0
浜哄伐鏅鸿兘,鐢?29.99,0.77,82.73,0.82,73.94,1,1
浜哄伐鏅鸿兘,鐢?33.13,0.76,72.45,0.95,77.85,1,1
澶ф暟鎹鐞?濂?28.1,0.66,65.87,0.99,70.23,0,4,
宸ュ晢绠＄悊,鐢?20.92,0.71,76.22,0.83,61.72,1,0
澶ф暟鎹鐞?鐢?32.08,0.85,64.49,0.78,71.25,1,4,
宸ュ晢绠＄悊,濂?29.48,0.84,85.6,0.91,78.15,0,0
浜哄伐鏅鸿兘,濂?20.33,0.86,83.63,0.84,82.16,0,1
浜哄伐鏅鸿兘,濂?6.15,0.78,89.02,0.87,84.56,0,1
澶ф暟鎹鐞?鐢?22.71,0.99,76,0.74,65.83,1,4,
浜哄伐鏅鸿兘,濂?16.53,0.62,79.56,0.79,83.48,0,1
宸ュ晢绠＄悊,鐢?25.21,0.91,90.68,1,85.65,1,0
澶ф暟鎹鐞?濂?32.38,0.82,66.61,0.72,66.09,0,4,
宸ュ晢绠＄悊,濂?18.9,0.89,93.51,0.77,87.23,0,0
浜哄伐鏅鸿兘,濂?31.12,0.6,85.01,0.96,78.45,0,1
澶ф暟鎹鐞?鐢?23.43,0.67,75.21,0.85,71.61,1,4,
鐢靛瓙鍟嗗姟,濂?19.1,0.63,92.27,0.73,72.73,0,3
澶ф暟鎹鐞?濂?17.53,0.64,74.38,0.97,63.4,0,4,
浜哄伐鏅鸿兘,鐢?24.4,0.84,67.21,0.79,75.73,1,1
璐㈠姟绠＄悊,鐢?16.05,0.63,91.75,0.92,74.81,1,2
浜哄伐鏅鸿兘,鐢?16.09,0.83,65.33,0.84,53.65,1,1
宸ュ晢绠＄悊,濂?38.31,0.77,73.95,0.82,83.49,0,0
璐㈠姟绠＄悊,濂?34.61,0.63,80.06,0.96,73.3,0,2
鐢靛瓙鍟嗗姟,濂?26.44,0.79,53.88,0.96,57.9,0,3
璐㈠姟绠＄悊,濂?26.38,0.84,42.48,0.87,67.48,0,2
浜哄伐鏅鸿兘,鐢?20.71,0.87,80.37,0.83,66.54,1,1
宸ュ晢绠＄悊,濂?12.71,0.88,87.08,0.76,62.08,0,0
鐢靛瓙鍟嗗姟,鐢?17.48,0.69,66.37,0.77,69.03,1,3
鐢靛瓙鍟嗗姟,鐢?13.8,0.65,66.69,0.89,60.64,1,3
浜哄伐鏅鸿兘,鐢?16.07,0.69,96.53,0.9,78.37,1,1
宸ュ晢绠＄悊,鐢?19.74,0.79,38.14,0.99,53.14,1,0
宸ュ晢绠＄悊,濂?26.33,0.81,92.34,0.93,87.17,0,0
浜哄伐鏅鸿兘,鐢?21.48,0.74,50.87,0.77,52.97,1,1
澶ф暟鎹鐞?鐢?19.83,0.86,67.83,0.91,82.3,1,4,
鐢靛瓙鍟嗗姟,濂?20.69,0.65,77.31,0.97,61.57,0,3
浜哄伐鏅鸿兘,濂?22.18,0.61,100,0.97,88.25,0,1
璐㈠姟绠＄悊,鐢?11.16,0.92,82.24,0.74,77.2,1,2
宸ュ晢绠＄悊,鐢?19.78,0.89,91.79,0.84,75.75,1,0
璐㈠姟绠＄悊,鐢?21.73,0.72,71.95,0.87,62.67,1,2
宸ュ晢绠＄悊,鐢?19.87,0.75,94.22,0.96,90.9,1,0
澶ф暟鎹鐞?濂?24.15,0.8,58.35,0.83,58.18,0,4,
澶ф暟鎹鐞?鐢?21.39,0.98,65.28,0.89,66.57,1,4,
浜哄伐鏅鸿兘,濂?18.61,0.63,83.77,0.89,81.21,0,1
鐢靛瓙鍟嗗姟,鐢?5.0,0.81,56.08,0.96,57.39,1,3
宸ュ晢绠＄悊,濂?12.38,0.94,64.98,0.89,50.3,0,0
澶ф暟鎹鐞?鐢?21.84,0.64,71.08,0.92,83.53,1,4,
宸ュ晢绠＄悊,濂?23.46,0.75,55.67,0.95,60.94,0,0
宸ュ晢绠＄悊,濂?13.68,0.61,78.6,0.97,66.37,0,0
浜哄伐鏅鸿兘,濂?24.69,0.97,73.98,0.95,79.99,0,1
鐢靛瓙鍟嗗姟,鐢?27.45,0.98,72.48,0.78,80.86,1,3
璐㈠姟绠＄悊,鐢?16.09,0.92,88.78,0.98,97.38,1,2
浜哄伐鏅鸿兘,濂?14.01,0.82,86.23,0.91,61.7,0,1
鐢靛瓙鍟嗗姟,鐢?28.93,0.73,72.19,0.81,79.66,1,3
鐢靛瓙鍟嗗姟,濂?36.2,0.82,70.52,0.88,83.59,0,3
浜哄伐鏅鸿兘,濂?20.51,0.7,96.78,0.84,80.58,0,1
鐢靛瓙鍟嗗姟,濂?18.57,1,87.84,0.91,88.25,0,3
澶ф暟鎹鐞?濂?18.78,0.97,84,0.93,87.48,0,4,
澶ф暟鎹鐞?鐢?24.7,0.62,100,0.84,75,1,4,
宸ュ晢绠＄悊,鐢?14.35,0.68,91.32,0.88,91.34,1,0
璐㈠姟绠＄悊,濂?9.68,0.83,97.4,0.76,72.4,0,2
璐㈠姟绠＄悊,濂?18.87,0.85,58.65,0.74,53.42,0,2
鐢靛瓙鍟嗗姟,鐢?19.96,0.78,64.42,0.82,64.11,1,3
浜哄伐鏅鸿兘,鐢?22.84,0.91,93.55,0.76,98.17,1,1
澶ф暟鎹鐞?鐢?9.12,0.96,79.4,0.97,70.31,1,4,
璐㈠姟绠＄悊,鐢?25.37,0.69,81.57,0.81,75.78,1,2
浜哄伐鏅鸿兘,鐢?27.77,0.93,93.75,0.94,99.13,1,1
浜哄伐鏅鸿兘,濂?24.33,0.95,82.45,0.99,80.3,0,1
宸ュ晢绠＄悊,濂?9.47,0.8,88.41,0.75,63.41,0,0
鐢靛瓙鍟嗗姟,鐢?28.1,0.97,92.78,1,86.97,1,3
宸ュ晢绠＄悊,鐢?8.28,0.73,91.94,0.79,85.58,1,0
宸ュ晢绠＄悊,鐢?24.3,0.76,55.39,0.95,66.06,1,0
宸ュ晢绠＄悊,鐢?14.97,0.96,65.71,0.73,82.09,1,0
澶ф暟鎹鐞?鐢?21.01,0.99,57.71,0.88,73.29,1,4,
鐢靛瓙鍟嗗姟,鐢?24.04,0.9,79.41,0.7,70.85,1,3
璐㈠姟绠＄悊,濂?16.1,0.95,72.73,0.95,73.2,0,2
鐢靛瓙鍟嗗姟,濂?24.7,0.9,72.34,0.89,69.08,0,3
浜哄伐鏅鸿兘,鐢?14.85,0.68,62.32,0.83,55.51,1,1
宸ュ晢绠＄悊,濂?29.39,0.74,68.72,0.94,93.72,0,0
鐢靛瓙鍟嗗姟,鐢?32.42,0.83,94.61,0.8,94.82,1,3
璐㈠姟绠＄悊,濂?30.66,0.99,87.42,0.83,92.38,0,2
浜哄伐鏅鸿兘,濂?14.81,0.95,65.06,0.99,63.76,0,1
璐㈠姟绠＄悊,濂?24.99,0.99,44.11,0.86,69.11,0,2
鐢靛瓙鍟嗗姟,鐢?20.08,0.84,55.16,0.99,73.88,1,3
宸ュ晢绠＄悊,鐢?27.96,0.67,50.77,0.99,75.77,1,0
澶ф暟鎹鐞?鐢?5.0,0.67,83.37,0.92,85.52,1,4,
浜哄伐鏅鸿兘,鐢?17.26,0.78,74.77,0.92,59.31,1,1
璐㈠姟绠＄悊,鐢?11.58,0.76,68.21,0.9,55.08,1,2
鐢靛瓙鍟嗗姟,濂?17.64,0.73,89.71,0.83,68.9,0,3
宸ュ晢绠＄悊,鐢?16.26,0.74,55.58,0.87,52.26,1,0
浜哄伐鏅鸿兘,濂?24.39,0.8,53.3,0.74,64.33,0,1
澶ф暟鎹鐞?鐢?13.04,0.71,57.91,0.81,53.46,1,4,
澶ф暟鎹鐞?鐢?23.84,0.98,60.9,0.91,85.9,1,4,
澶ф暟鎹鐞?濂?19.92,0.79,75.78,0.94,89.07,0,4,
澶ф暟鎹鐞?鐢?11.98,0.96,84.12,0.77,73.86,1,4,
鐢靛瓙鍟嗗姟,鐢?17.28,0.92,64.21,0.89,84.01,1,3
浜哄伐鏅鸿兘,濂?15.18,0.94,70.67,0.77,81.27,0,1
浜哄伐鏅鸿兘,濂?21.16,0.99,60.53,0.96,66.63,0,1
澶ф暟鎹鐞?鐢?19.3,0.77,66.54,0.9,51.79,1,4,
鐢靛瓙鍟嗗姟,鐢?21.75,0.72,81.52,0.81,73.01,1,3
璐㈠姟绠＄悊,濂?35.29,0.64,82.83,0.86,77.4,0,2
浜哄伐鏅鸿兘,鐢?31.07,0.76,100,0.93,92.22,1,1
澶ф暟鎹鐞?鐢?20.04,0.77,100,0.76,83.71,1,4,
宸ュ晢绠＄悊,鐢?10.1,0.81,60.64,0.78,59.79,1,0
澶ф暟鎹鐞?鐢?34.73,0.93,83.59,1,91.55,1,4,
宸ュ晢绠＄悊,鐢?18.8,1,67.71,0.95,62.72,1,0
璐㈠姟绠＄悊,濂?15.97,0.82,94.52,0.98,85.67,0,2
璐㈠姟绠＄悊,濂?11.35,0.93,100,0.98,80.44,0,2
浜哄伐鏅鸿兘,濂?18.57,1,99.46,0.81,87.8,0,1
澶ф暟鎹鐞?濂?19.08,0.64,43.53,0.77,60.1,0,4,
浜哄伐鏅鸿兘,鐢?40.0,0.63,66.83,0.88,68.68,1,1
宸ュ晢绠＄悊,濂?5.0,0.82,80.17,0.88,65.46,0,0
鐢靛瓙鍟嗗姟,濂?18.76,0.85,71.38,0.73,67.87,0,3
宸ュ晢绠＄悊,濂?25.28,0.65,66.84,0.87,64.99,0,0
宸ュ晢绠＄悊,鐢?23.46,0.89,35.24,0.88,60.24,1,0
鐢靛瓙鍟嗗姟,濂?9.53,0.81,79.7,0.85,63.08,0,3
璐㈠姟绠＄悊,濂?21.71,0.68,53.07,0.87,56.26,0,2
澶ф暟鎹鐞?濂?13.45,0.69,65.02,0.96,57.86,0,4,
浜哄伐鏅鸿兘,濂?27.92,0.68,40.45,0.9,65.45,0,1
浜哄伐鏅鸿兘,鐢?20.28,0.81,64.07,0.77,61.81,1,1
璐㈠姟绠＄悊,濂?18.33,0.96,74.99,0.82,77.21,0,2
璐㈠姟绠＄悊,濂?6.99,0.9,81.69,0.87,89.25,0,2
澶ф暟鎹鐞?濂?23.95,0.86,64.88,0.77,68.35,0,4,
璐㈠姟绠＄悊,濂?23.28,0.69,79.76,0.97,84.93,0,2
澶ф暟鎹鐞?濂?17.77,0.75,64.06,0.98,80.67,0,4,
璐㈠姟绠＄悊,鐢?29.69,0.63,47.79,0.97,70.09,1,2
澶ф暟鎹鐞?鐢?24.2,0.67,85.55,1,79.71,1,4,
璐㈠姟绠＄悊,鐢?23.2,0.83,100,0.92,92.84,1,2
璐㈠姟绠＄悊,鐢?23.68,0.88,80.86,0.87,68.73,1,2
璐㈠姟绠＄悊,鐢?28.21,0.75,71.8,0.8,67.63,1,2
宸ュ晢绠＄悊,濂?24.69,0.73,100,0.78,80.44,0,0
澶ф暟鎹鐞?濂?7.83,0.8,72.5,0.85,85.51,0,4,
璐㈠姟绠＄悊,濂?20.33,0.66,91.87,0.82,71.75,0,2
鐢靛瓙鍟嗗姟,鐢?24.46,0.9,62.19,0.87,63.66,1,3
宸ュ晢绠＄悊,濂?12.86,0.62,100,0.78,75,0,0
宸ュ晢绠＄悊,鐢?10.49,0.92,55.83,0.96,66.3,1,0
澶ф暟鎹鐞?鐢?10.34,0.78,72.72,0.99,69.4,1,4,
璐㈠姟绠＄悊,鐢?19.79,0.69,44.19,0.99,65.89,1,2
澶ф暟鎹鐞?鐢?20.9,0.78,60.77,0.83,70.27,1,4,
鐢靛瓙鍟嗗姟,濂?21.7,0.75,75.34,0.76,60.37,0,3
浜哄伐鏅鸿兘,鐢?28.14,0.75,81.89,0.82,72.82,1,1
澶ф暟鎹鐞?濂?25.97,0.66,79.59,0.95,87.08,0,4,
浜哄伐鏅鸿兘,鐢?23.46,0.64,81.63,0.98,75.41,1,1
澶ф暟鎹鐞?濂?40.0,0.95,78.01,0.86,93.23,0,4,
鐢靛瓙鍟嗗姟,濂?11.35,0.68,100,0.97,79.13,0,3
璐㈠姟绠＄悊,濂?19.62,0.79,50.89,0.83,51.74,0,2
宸ュ晢绠＄悊,濂?14.63,0.74,51.8,0.86,54.64,0,0
鐢靛瓙鍟嗗姟,鐢?22.16,0.6,60.04,0.82,54.92,1,3
澶ф暟鎹鐞?濂?26.05,0.99,52.74,0.85,62.79,0,4,
浜哄伐鏅鸿兘,濂?34.12,0.63,80.39,0.84,80.66,0,1
浜哄伐鏅鸿兘,濂?20.64,0.69,64.92,0.96,71.6,0,1
浜哄伐鏅鸿兘,濂?7.38,0.94,79.21,0.71,54.21,0,1
鐢靛瓙鍟嗗姟,鐢?11.17,0.68,97.93,0.89,77.97,1,3
澶ф暟鎹鐞?濂?13.86,0.92,78.4,0.81,67.09,0,4,
澶ф暟鎹鐞?鐢?21.22,0.86,86.42,0.85,74.34,1,4,
宸ュ晢绠＄悊,濂?17.09,0.95,74.27,0.72,71.92,0,0
澶ф暟鎹鐞?濂?22.85,1,68.36,0.76,67.75,0,4,
澶ф暟鎹鐞?鐢?15.3,0.63,84.82,0.9,84.77,1,4,
浜哄伐鏅鸿兘,濂?9.02,0.99,75.95,0.71,78.77,0,1
浜哄伐鏅鸿兘,鐢?25.59,0.86,66.08,0.92,81.41,1,1
鐢靛瓙鍟嗗姟,濂?13.55,0.8,74.42,0.71,62.29,0,3
璐㈠姟绠＄悊,鐢?38.25,0.93,59.14,0.88,69.75,1,2
澶ф暟鎹鐞?濂?11.17,0.98,73.57,0.92,71.59,0,4,
鐢靛瓙鍟嗗姟,鐢?14.58,0.88,71.45,0.96,69.35,1,3
璐㈠姟绠＄悊,鐢?23.13,0.9,100,0.87,83.5,1,2
璐㈠姟绠＄悊,濂?9.68,0.72,78.87,0.99,59.32,0,2
璐㈠姟绠＄悊,濂?17.34,0.72,67.79,0.84,65.66,0,2
宸ュ晢绠＄悊,鐢?5.0,0.85,81.58,0.79,64.11,1,0
宸ュ晢绠＄悊,鐢?15.32,0.97,48.17,0.92,66,1,0
浜哄伐鏅鸿兘,濂?36.65,0.92,66.14,0.9,82.92,0,1
宸ュ晢绠＄悊,鐢?34.15,0.97,57,0.98,82,1,0
宸ュ晢绠＄悊,濂?7.76,0.79,43.52,0.73,36.79,0,0
澶ф暟鎹鐞?濂?5.0,0.68,88.39,0.86,73.61,0,4,
宸ュ晢绠＄悊,濂?22.27,0.85,64.58,0.86,63.4,0,0
澶ф暟鎹鐞?濂?12.73,0.76,59.02,0.85,49.35,0,4,
澶ф暟鎹鐞?濂?20.14,0.73,69.21,0.71,62.97,0,4,
鐢靛瓙鍟嗗姟,鐢?21.96,0.77,80.83,0.82,83.6,1,3
宸ュ晢绠＄悊,濂?15.43,0.81,52.68,0.89,56.34,0,0
浜哄伐鏅鸿兘,鐢?23.73,0.69,74.75,0.91,85.19,1,1
浜哄伐鏅鸿兘,鐢?23.72,0.77,33.85,0.84,57.15,1,1
澶ф暟鎹鐞?鐢?23.11,0.66,72.41,0.98,69.33,1,4,
鐢靛瓙鍟嗗姟,鐢?10.38,0.91,77.43,0.88,81.14,1,3
澶ф暟鎹鐞?濂?19.4,0.7,62.09,0.97,69.41,0,4,
璐㈠姟绠＄悊,濂?24.69,0.72,100,0.79,77.89,0,2
鐢靛瓙鍟嗗姟,濂?21.53,0.83,81.69,0.94,92.79,0,3
澶ф暟鎹鐞?鐢?24.39,0.8,89.86,0.89,84.42,1,4,
璐㈠姟绠＄悊,鐢?14.43,0.82,93.66,0.73,77.43,1,2
澶ф暟鎹鐞?濂?14.73,0.75,57.38,0.95,54.34,0,4,
璐㈠姟绠＄悊,鐢?36.4,0.9,42.85,0.73,67.85,1,2
鐢靛瓙鍟嗗姟,鐢?17.81,0.7,81.08,1,79.18,1,3
浜哄伐鏅鸿兘,鐢?19.53,0.85,80,0.74,78.73,1,1
鐢靛瓙鍟嗗姟,鐢?14.53,0.65,59.87,0.99,57.49,1,3
浜哄伐鏅鸿兘,鐢?19.64,0.94,78.8,0.97,84.57,1,1
浜哄伐鏅鸿兘,鐢?14.17,0.81,66.99,0.92,74.26,1,1
浜哄伐鏅鸿兘,濂?22.07,0.63,51.32,0.88,54.11,0,1
宸ュ晢绠＄悊,濂?5.0,0.64,56.91,0.78,38.87,0,0
浜哄伐鏅鸿兘,濂?29.41,0.98,88.29,0.92,91.45,0,1
浜哄伐鏅鸿兘,鐢?5.0,0.87,65.75,0.85,46.27,1,1
璐㈠姟绠＄悊,濂?20.03,0.96,86.99,0.91,82.76,0,2
宸ュ晢绠＄悊,濂?29.14,0.7,81.11,0.84,74.98,0,0
浜哄伐鏅鸿兘,鐢?23.48,0.67,92.63,0.85,90.04,1,1
宸ュ晢绠＄悊,鐢?21.32,0.83,67.99,0.91,67.65,1,0
澶ф暟鎹鐞?鐢?23.07,0.72,71.8,0.97,81.24,1,4,
鐢靛瓙鍟嗗姟,鐢?24.83,0.7,79.21,0.9,72.03,1,3
宸ュ晢绠＄悊,濂?16.23,0.62,100,0.75,87,0,0
璐㈠姟绠＄悊,濂?15.72,0.8,60.16,0.98,82.1,0,2
鐢靛瓙鍟嗗姟,濂?15.68,0.62,85.6,0.99,65.72,0,3
宸ュ晢绠＄悊,鐢?26.2,0.77,71.14,0.96,76.74,1,0
浜哄伐鏅鸿兘,濂?23.76,0.94,83.49,0.74,99.7,0,1
浜哄伐鏅鸿兘,鐢?29.4,0.63,83.93,1,81.53,1,1
浜哄伐鏅鸿兘,鐢?5.99,0.75,71.63,0.8,62.71,1,1
宸ュ晢绠＄悊,濂?27.29,0.98,76.82,0.97,87.09,0,0
浜哄伐鏅鸿兘,濂?18.58,0.9,82.11,0.83,76.68,0,1
璐㈠姟绠＄悊,鐢?21.16,0.95,70.78,0.85,59.42,1,2
璐㈠姟绠＄悊,鐢?36.59,0.96,86.32,0.74,94.18,1,2
浜哄伐鏅鸿兘,鐢?14.95,0.92,78.72,0.85,56.41,1,1
鐢靛瓙鍟嗗姟,濂?30.17,0.7,78.5,0.91,75.52,0,3
璐㈠姟绠＄悊,鐢?13.43,0.93,89.47,0.77,87.43,1,2
澶ф暟鎹鐞?鐢?22.42,0.63,91.11,0.87,76.56,1,4,
鐢靛瓙鍟嗗姟,鐢?29.17,0.89,81.08,0.82,75.87,1,3
澶ф暟鎹鐞?鐢?20.11,0.97,88.13,0.95,89.92,1,4,
璐㈠姟绠＄悊,濂?9.45,0.62,61.71,0.92,50.89,0,2
璐㈠姟绠＄悊,濂?26.64,0.63,69.02,0.71,58.97,0,2
澶ф暟鎹鐞?鐢?25.58,0.85,72.64,0.94,78.06,1,4,
璐㈠姟绠＄悊,鐢?17.85,0.69,50.47,0.9,56.49,1,2
宸ュ晢绠＄悊,濂?5.0,0.9,38.58,0.92,37.33,0,0
宸ュ晢绠＄悊,鐢?24.47,0.85,81.01,0.82,82.54,1,0
浜哄伐鏅鸿兘,濂?8.37,0.79,87.41,0.79,75.92,0,1
鐢靛瓙鍟嗗姟,濂?21.15,0.69,71.95,1,68.99,0,3
宸ュ晢绠＄悊,鐢?19.03,0.62,66.49,0.71,60.46,1,0
宸ュ晢绠＄悊,濂?27.49,0.83,76.17,0.8,79.75,0,0
浜哄伐鏅鸿兘,濂?26.61,0.94,74.24,0.88,86.33,0,1
浜哄伐鏅鸿兘,鐢?25.5,0.7,66.98,0.98,69.35,1,1
浜哄伐鏅鸿兘,濂?23.19,0.67,91.44,1,87.36,0,1
澶ф暟鎹鐞?濂?26.41,0.89,71.87,0.72,77.46,0,4,
澶ф暟鎹鐞?鐢?13.54,0.91,81.98,0.85,81.83,1,4,
鐢靛瓙鍟嗗姟,濂?17.94,0.74,80.29,0.74,71.66,0,3
鐢靛瓙鍟嗗姟,濂?23.38,0.99,94.43,0.84,79.47,0,3
鐢靛瓙鍟嗗姟,濂?29.86,0.95,52.65,0.7,62.84,0,3
璐㈠姟绠＄悊,鐢?24.36,0.94,84.19,0.79,82.86,1,2
浜哄伐鏅鸿兘,濂?34.35,0.8,75.04,0.87,91.69,0,1
鐢靛瓙鍟嗗姟,鐢?20.73,0.71,60.57,0.81,59.61,1,3
璐㈠姟绠＄悊,濂?16.41,0.85,68.76,0.79,73.9,0,2
浜哄伐鏅鸿兘,鐢?14.84,0.91,56.59,0.84,59.17,1,1
鐢靛瓙鍟嗗姟,濂?31.16,0.73,85.93,0.8,82.33,0,3
鐢靛瓙鍟嗗姟,鐢?28.4,0.65,73.75,0.81,83.74,1,3
璐㈠姟绠＄悊,濂?18.44,0.65,81.1,0.73,76.79,0,2
宸ュ晢绠＄悊,濂?25.7,1,73.98,0.75,66.78,0,0
浜哄伐鏅鸿兘,濂?19.58,0.88,71.29,0.9,67.6,0,1
浜哄伐鏅鸿兘,濂?29.14,0.76,67.56,0.82,81.03,0,1
宸ュ晢绠＄悊,鐢?24.28,0.62,97,1,86.02,1,0
宸ュ晢绠＄悊,鐢?25.79,0.95,81.33,0.75,70.59,1,0
澶ф暟鎹鐞?濂?18.77,0.87,69.83,0.94,64.84,0,4,
宸ュ晢绠＄悊,鐢?15.07,0.95,60.73,0.76,69.61,1,0
澶ф暟鎹鐞?濂?28.04,0.98,85.33,0.82,90.86,0,4,
浜哄伐鏅鸿兘,濂?24.8,0.99,68.07,1,76.42,0,1
澶ф暟鎹鐞?鐢?15.99,0.9,69.38,0.81,89.05,1,4,
宸ュ晢绠＄悊,濂?14.56,0.88,62.65,0.72,69.62,0,0
浜哄伐鏅鸿兘,濂?7.31,0.71,74.6,0.89,62.71,0,1
浜哄伐鏅鸿兘,鐢?24.46,0.96,70.05,0.89,68.74,1,1
鐢靛瓙鍟嗗姟,濂?19.53,0.9,85.09,0.92,71.8,0,3
璐㈠姟绠＄悊,濂?31.22,0.83,78.33,0.7,80.12,0,2
璐㈠姟绠＄悊,濂?14.19,0.65,78.47,0.92,65.69,0,2
宸ュ晢绠＄悊,鐢?22.46,0.97,80.03,0.74,89.84,1,0
宸ュ晢绠＄悊,鐢?18.67,0.75,87.06,0.76,87.36,1,0
浜哄伐鏅鸿兘,濂?16.43,0.68,71.09,0.75,70.47,0,1
鐢靛瓙鍟嗗姟,濂?18.09,0.88,50.36,0.94,51.77,0,3
璐㈠姟绠＄悊,濂?38.45,0.62,60.97,0.77,66.44,0,2
鐢靛瓙鍟嗗姟,濂?14.26,0.95,100,0.98,96.89,0,3
澶ф暟鎹鐞?鐢?30.76,0.96,72.91,0.77,73.81,1,4,
浜哄伐鏅鸿兘,鐢?26.39,0.72,71.06,0.91,81.41,1,1
璐㈠姟绠＄悊,濂?12.38,0.93,55.57,0.86,64.98,0,2
澶ф暟鎹鐞?鐢?25.55,0.8,99.44,0.72,85.66,1,4,
宸ュ晢绠＄悊,濂?15.63,0.8,70.93,0.74,60.44,0,0
澶ф暟鎹鐞?濂?15.58,0.7,74.96,0.73,65.97,0,4,
鐢靛瓙鍟嗗姟,濂?27.59,0.92,81.04,0.84,82.06,0,3
澶ф暟鎹鐞?濂?15.65,0.83,74.7,0.89,79.71,0,4,
浜哄伐鏅鸿兘,鐢?31.05,0.84,100,0.79,83.92,1,1
浜哄伐鏅鸿兘,鐢?24.2,0.67,100,0.77,81.74,1,1
宸ュ晢绠＄悊,鐢?21.31,0.7,66.83,0.77,66.42,1,0
澶ф暟鎹鐞?濂?8.47,0.84,90.13,0.88,81.14,0,4,
璐㈠姟绠＄悊,鐢?30.92,0.68,58.49,0.89,61.94,1,2
宸ュ晢绠＄悊,濂?22.1,0.79,80.7,0.96,67.34,0,0
鐢靛瓙鍟嗗姟,鐢?30.98,0.65,46.58,0.96,67.57,1,3
宸ュ晢绠＄悊,濂?27.81,0.97,71.49,0.86,66.13,0,0
澶ф暟鎹鐞?鐢?28.56,0.63,49.82,0.76,69.16,1,4,
宸ュ晢绠＄悊,鐢?12.61,0.64,61.37,0.74,56.28,1,0
璐㈠姟绠＄悊,濂?16.2,0.97,92.28,0.84,68.45,0,2
宸ュ晢绠＄悊,濂?16.25,0.95,68.34,0.99,67.28,0,0
浜哄伐鏅鸿兘,濂?16.47,0.83,74.11,0.92,74.73,0,1
澶ф暟鎹鐞?鐢?24.01,1,66.25,0.88,69.26,1,4,
鐢靛瓙鍟嗗姟,鐢?12.49,0.67,69.82,0.76,62.84,1,3
浜哄伐鏅鸿兘,鐢?15.77,0.69,91.09,0.96,84.36,1,1
璐㈠姟绠＄悊,濂?15.09,0.63,66.54,0.83,60.99,0,2
鐢靛瓙鍟嗗姟,濂?30.29,0.84,75.58,0.89,72.33,0,3
宸ュ晢绠＄悊,濂?27.36,0.91,98.76,0.86,87.43,0,0
澶ф暟鎹鐞?鐢?10.59,0.63,65.94,0.8,72.37,1,4,
鐢靛瓙鍟嗗姟,鐢?17.75,0.81,92.52,0.79,92.89,1,3
宸ュ晢绠＄悊,濂?19.69,0.68,81.38,0.77,56.38,0,0
宸ュ晢绠＄悊,濂?22.66,0.9,58.25,0.92,76.25,0,0
浜哄伐鏅鸿兘,濂?14.24,0.71,75.1,0.98,72.1,0,1
璐㈠姟绠＄悊,濂?18.21,0.94,94.07,0.98,92.43,0,2
璐㈠姟绠＄悊,濂?20.92,0.8,48.09,0.71,52.8,0,2
宸ュ晢绠＄悊,濂?22.46,0.86,75.27,0.72,58.83,0,0
鐢靛瓙鍟嗗姟,鐢?25.03,0.87,57.66,0.97,73.45,1,3
澶ф暟鎹鐞?鐢?9.82,0.95,67.05,0.89,57.57,1,4,
宸ュ晢绠＄悊,濂?29.08,0.98,68.12,0.98,68.08,0,0
澶ф暟鎹鐞?濂?32.26,0.65,70.37,0.95,66.34,0,4,
宸ュ晢绠＄悊,鐢?23.41,0.84,49.49,0.82,65.84,1,0
鐢靛瓙鍟嗗姟,鐢?17.36,0.96,53.28,0.96,65.15,1,3
璐㈠姟绠＄悊,濂?26.39,0.87,69.55,0.86,79.64,0,2
澶ф暟鎹鐞?鐢?18.82,0.92,67.53,0.78,74.06,1,4,
宸ュ晢绠＄悊,濂?27.64,0.63,81.85,0.96,75.42,0,0
璐㈠姟绠＄悊,鐢?5.0,0.97,89.43,0.9,74.62,1,2
鐢靛瓙鍟嗗姟,濂?23.3,0.85,69.55,0.94,69.37,0,3
浜哄伐鏅鸿兘,濂?24.94,0.83,60.52,0.77,65.15,0,1
浜哄伐鏅鸿兘,濂?21.62,0.99,83.4,0.77,71.31,0,1
澶ф暟鎹鐞?鐢?12.34,0.84,61.58,0.86,65.96,1,4,
浜哄伐鏅鸿兘,濂?19.43,0.74,69.41,0.82,76.48,0,1
宸ュ晢绠＄悊,濂?24.76,0.65,79.1,1,70.43,0,0
